user_id,order_id,time,description,product_id,product_name,amount,price
NTH852NTH,XBH011609/070,2016-09-30,Xuất bán T9/070 - GLGS354A- LSX 28,LTCSCO1R334AK2,Scout Dining Chair_R334,118.0,5428.0
NTH852NTH,XBH011609/070,2016-09-30,Xuất bán T9/070 - GLGS354A- LSX 28,LTCSCO1R334AK3,Scout Bar Chair_R334,6.0,126.0
LIK45JYS,XBH011609/064,2016-09-30,Xuất bán T9/064 - LTINV3041 - LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
LIK45JYS,XBH011609/062,2016-09-30,Xuất bán T9/062 - LTINV3042 - LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
NTH852NTH,XBH011609/070,2016-09-30,Xuất bán T9/070 - GLGS354A- LSX 28,LTCSCO2R334AK1,Scout Double _R334,28.0,2660.0
NIN61NIN,XBH011609/069,2016-09-30,Xuất bán T9/069 - 08062016-1- LSX 43,LTTANG1F253SC1,ANGEBOT GARDEN TABLE F253,50.0,2250.0
LIK46JYS,XBH011609/061,2016-09-29,Xuất bán T9/061 - LTINV3117- LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
LIK45JYS,XBH011609/055,2016-09-28,Xuất bán T9/055 - LTINV3053- LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
LIK48JYS,XBH011609/058,2016-09-28,Xuất bán T9/058 - LTINV1638- LSX 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK48JYS,XBH011609/059,2016-09-28,Xuất bán T9/059 - LTINV1637- LSX 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK48JYS,XBH011609/060,2016-09-28,Xuất bán T9/060 - LTINV1640- LSX 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK46JYS,XBH011609/056,2016-09-28,Xuất bán T9/056 - LTINV3112- LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
LIK45JYS,XBH011609/057,2016-09-28,Xuất bán T9/057 - LTINV6828- LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,1976.0,20056.4
LIK46JYS,XBH011609/054,2016-09-28,Xuất bán T9/054 - LTINV3111- LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
LIK46JYS,XBH011609/053,2016-09-28,Xuất bán T9/053 - LTINV3110- LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
NOR49NOR,XHM011609/006,2016-09-27,"Xuất mẫu theo phiếu yêu cầu xuất xưởng ngày 27/9/2016, phí test lại PKD chịu",LTSAM00064WI,Mẫu Prisca bench_F310,1.0,0.0
LIK48JYS,XBH011609/052,2016-09-27,Xuất bán T9/052 - LTINV1534- LSX 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK48JYS,XBH011609/051,2016-09-24,Xuất bán T9/051- LTINV1634 - ngày ETD 29/9/2016 -LSX 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK48JYS,XBH011609/050,2016-09-24,Xuất bán T9/050- LTINV1536 - ngày ETD 26/9/2016 -LSX 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK45JYS,XBH011609/049,2016-09-24,Xuất bán T9/049- LTINV3044 - ngày ETD 29/9/2016 -LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
LIK48JYS,XBH011609/048,2016-09-23,Xuất bán T9/048- LTINV1641 - ngày ETD 26/9/2016 -LSX 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK48JYS,XBH011609/047,2016-09-23,Xuất bán T9/047- LTINV1626 - ngày ETD 26/9/2016 -LSX 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK48JYS,XBH011609/046,2016-09-23,Xuất bán T9/046- LTINV1624 - ngày ETD 26/9/2016 -LSX 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK48JYS,XBH011609/045,2016-09-23,Xuất bán T9/045- LTINV8957 - ngày ETD 26/9/2016 -LSX 35,LTCBIR1F314SP1,New Birkemose Chair_F314,1976.0,20056.4
LIK46JYS,XBH011609/042,2016-09-22,Xuất bán T9/042- LTINV3816- ngày ETD 26/9/2016 -LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,1976.0,20056.4
LIK45JYS,XBH011609/038,2016-09-22,Xuất bán T9/038- LTINV3046- ngày ETD 25/9/2016 -LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.0,10512.0
LIK48JYS,XBH011609/039,2016-09-22,Xuất bán T9/039- LTINV1635- ngày ETD 26/9/2016 -LSX 35,LTCBOR1F314SPA2,New Bork Chair_F314,720.0,10512.0
LIK46JYS,XBH011609/043,2016-09-22,Xuất bán T9/043- LTINV3815- ngày ETD 26/9/2016 -LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,1976.0,20056.4
