Mã KH,Số Phiếu Xuất,,Ngày Ghi Sổ,Diễn Giải,Mã Sản Phẩm,Tên Sản Phẩm,Số Lượng,Thành Tiền,,,,,,,,,,,,
,XBH011608/004,,8/16/16 0:00,Xuất bán T08/04 - LTINV3116  ngày ETD 16/8/2016,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011608/005,,8/17/16 0:00,Xuất bán T08/05 - LTINV3105  ngày ETD 16/8/2016,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011608/013,,8/23/16 0:00,Xuất bán T08/13- LTINV3061 ngày ETD 28/8/2016,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011608/014,,8/23/16 0:00,Xuất bán T08/14- LTINV3072 ngày ETD 28/8/2016,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011608/015,,8/23/16 0:00,Xuất bán T08/15- LTINV3127 ngày ETD 28/8/2016,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011608/016,,8/23/16 0:00,Xuất bán T08/16- LTINV3039 ngày ETD 28/8/2016,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011608/017,,8/23/16 0:00,Xuất bán T08/17- LTINV3050 ngày ETD 28/8/2016,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011608/027,,8/30/16 0:00,Xuất bán T08/27 - LTINV6772 ngày ETD 5/9/2016,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011608/028,,8/30/16 0:00,Xuất bán T08/28 - LTINV6783 ngày ETD 5/9/2016,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011608/038,,8/31/16 0:00,Xuất bán T08/38 -LTINV6794 ngày ETD 5/9/2016,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011608/039,,8/31/16 0:00,Xuất bán T08/39 -LTINV6817 ngày ETD 5/9/2016,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011608/040,,8/31/16 0:00,Xuất bán T08/40 -LTINV6806 ngày ETD 5/9/2016,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011609/019,,9/13/16 0:00,Xuất bán T09/19 - LTINV3094 -LSX2016/ 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011609/020,,9/13/16 0:00,Xuất bán T09/20- LTINV3083 -LSX2016/ 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011609/035,,9/21/16 0:00,Xuất bán T9/035- LTINV3047- ngày ETD 26/9/2016 -LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011609/036,,9/21/16 0:00,Xuất bán T9/036- LTINV3048- ngày ETD 26/9/2016 -LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011609/037,,9/21/16 0:00,Xuất bán T9/037- LTINV3049- ngày ETD 26/9/2016 -LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011609/038,,9/22/16 0:00,Xuất bán T9/038- LTINV3046- ngày ETD 25/9/2016 -LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011609/049,,9/24/16 0:00,Xuất bán T9/049- LTINV3044 - ngày ETD 29/9/2016 -LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011609/055,,9/28/16 0:00,Xuất bán T9/055 - LTINV3053- LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011609/057,,9/28/16 0:00,Xuất bán T9/057 - LTINV6828- LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011609/062,,9/30/16 0:00,Xuất bán T9/062 - LTINV3042 - LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011609/064,,9/30/16 0:00,Xuất bán T9/064 - LTINV3041 - LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011609/065,,9/30/16 0:00,Xuất bán T9/065 - LTINV3040 - LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011610/001,,10/5/16 0:00,Xuất bán T10/001 - LTINV6861 -LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011610/002,,10/5/16 0:00,Xuất bán T10/002 - LTINV6850 -LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011610/003,,10/5/16 0:00,Xuất bán T10/003 - LTINV6839 -LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011610/004,,10/6/16 0:00,Xuất bán T10/004 - LTINV6872 -LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011610/006,,10/6/16 0:00,Xuất bán T10/006 - LTINV3051 -LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011610/007,,10/6/16 0:00,Xuất bán T10/007 - LTINV3045 -LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011610/009,,10/7/16 0:00,Xuất bán T10/009 - LTINV6883-LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011610/010,,10/7/16 0:00,Xuất bán T10/010 - LTINV3062 -LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011610/011,,10/7/16 0:00,Xuất bán T10/011 - LTINV3043 -LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011610/031,,10/19/16 0:00,Xuất bán T10/031- LTINV3058- LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011610/033,,10/19/16 0:00,Xuất bán T10/033- LTINV3057- LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011610/042,,10/21/16 0:00,Xuất bán T10/042- LTINV6950 -  LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011610/051,,10/26/16 0:00,Xuất bán T10/051- LTINV2201 -  LSX 54,LTCJUL1F405SPK1,Jullerup Chair_F405,320.00,"8,240.00",,,,,,,,,,,,
,XBH011610/052,,10/26/16 0:00,Xuất bán T10/052- LTINV6972 -  LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011610/053,,10/26/16 0:00,Xuất bán T10/053- LTINV3052-  LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011610/055,,10/26/16 0:00,Xuất bán T10/055- LTINV6905 -  LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011610/064,,10/27/16 0:00,Xuất bán T10/064- LTINV3054-  LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011610/074,,10/28/16 0:00,Xuất bán T10/074- LTINV0471 -  LSX 54,LTCJUL1F405SPK1,Jullerup Chair_F405,320.00,"8,240.00",,,,,,,,,,,,
,XBH011610/076,,10/28/16 0:00,Xuất bán T10/076- LTINV3055-  LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011611/001,,11/3/16 0:00,Xuất bán T11/01- LTINV3056 - LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011611/008,,11/4/16 0:00,Xuất bán T11/08 - LTINV1573 - LSX 54,LTCJUL1F405SPK1,Jullerup Chair_F405,320.00,"8,240.00",,,,,,,,,,,,
,XBH011611/009,,11/4/16 0:00,Xuất bán T11/09- LTINV3059 - LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011611/010,,11/4/16 0:00,Xuất bán T11/10- LTINV3060 - LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011611/019,,11/5/16 0:00,Xuất bán T11/19 - LTINV7015 - LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011611/025,,11/10/16 0:00,Xuất bán T11/25 - LTINV3063 -  lsx 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011611/026,,11/10/16 0:00,Xuất bán T11/26 - LTINV7037 -  lsx 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011611/030,,11/11/16 0:00,Xuất bán T11/30 - LTINV7026-  lsx 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011611/049,,11/16/16 0:00,Xuất bán T11/49 - LTINV6983-  lsx 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011611/057,,11/17/16 0:00,Xuất bán T11/57 - LTVIN3064- lsx 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011611/058,,11/17/16 0:00,Xuất bán T11/58 - LTVIN0140 - lsx 54 ,LTCJUL1F405SPK1,Jullerup Chair_F405,320.00,"8,240.00",,,,,,,,,,,,
,XBH011611/068,,11/18/16 0:00,Xuất bán T11/68- LTINV1574  - LSX ,LTCJUL1F405SPK1,Jullerup Chair_F405,320.00,"8,240.00",,,,,,,,,,,,
,XBH011611/069,,11/18/16 0:00,Xuất bán T11/69- LTINV7096 - LSX 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,Xuất bán T11/69- LTINV7096 - LSX 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011611/070,,11/18/16 0:00,Xuất bán T11/70- LTINV7107 - LSX 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,Xuất bán T11/70- LTINV7107 - LSX 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011611/071,,11/18/16 0:00,Xuất bán T11/71 - LTINV7085      - LSX 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,Xuất bán T11/71 - LTINV7085      - LSX 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011611/072,,11/23/16 0:00,Xuất bán T11/072 - LTINV0937- LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011611/075,,11/23/16 0:00,Xuất bán T11/075 - LTINV3066- LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011611/081,,11/29/16 0:00,Xuất bán T11/081 - LTINV5113- lsx 54,LTCJUL1F405SPK1,Jullerup Chair_F405,320.00,"8,240.00",,,,,,,,,,,,
,XBH011611/082,,11/29/16 0:00,Xuất bán T11/082 - LTINV3065- lsx 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011611/083,,11/29/16 0:00,Xuất bán T11/083 - LTINV7118 - lsx 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,Xuất bán T11/083 - LTINV7118 - lsx 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011611/084,,11/29/16 0:00,Xuất bán T11/084 - LTINV3615 - lsx 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,Xuất bán T11/084 - LTINV3615 - lsx 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011611/085,,11/29/16 0:00,Xuất bán T11/085 - LTINV6894 - lsx 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011612/001,,12/2/16 0:00,Xuất bán T12/001 -LTINV5956 - LSX 54,LTCJUL1F405SPK1,Jullerup Chair_F405,320.00,"8,240.00",,,,,,,,,,,,
,XBH011612/002,,12/2/16 0:00,Xuất bán T12/002 -LTINV3637 - LSX 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,Xuất bán T12/002 -LTINV3637 - LSX 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011612/003,,12/2/16 0:00,Xuất bán T12/003 -LTINV3626 - LSX 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,Xuất bán T12/003 -LTINV3626 - LSX 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011612/004,,12/2/16 0:00,Xuất bán T12/004 -LTINV3067 - LSX 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011612/014,,12/7/16 0:00,Xuất bán T12/014 - LTINV7005- LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011612/015,,12/7/16 0:00,Xuất bán T12/015 - LTINV7038- LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011612/021,,12/8/16 0:00,Xuất bán T12/021 -LTINV3068 - lsx 35,LTCBOR1F310SK1,New Bork Chair F310,720.00,"10,512.00",,,,,,,,,,,,
,XBH011612/024,,12/9/16 0:00,Xuất bán T12/024 - LTINV3659 - LSX 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,Xuất bán T12/024 - LTINV3659 - LSX 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011612/045,,12/14/16 0:00,Xuất bán T12/45 -LTINV6994 - LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011612/053,,12/15/16 0:00,Xuất bán T12/53 - LTINV3648 - LSX 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,Xuất bán T12/53 - LTINV3648 - LSX 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011612/083,,12/24/16 0:00,Xuất bán T12/83 - LTINV3665- LSX 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,Xuất bán T12/83 - LTINV3665- LSX 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011612/109,,12/30/16 0:00,Xuất bán T12/109 -LTINV7888- lsx 54,LTCJUL1F405SPK1,Jullerup Chair_F405,320.00,"8,240.00",,,,,,,,,,,,
,XBH011612/120,,12/31/16 0:00,Xuất bán T12/120 - LTINV3666-  LSX 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,Xuất bán T12/120 - LTINV3666-  LSX 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011701/002,,1/4/17 0:00,Xuất bán T01/002 - LTINV0670- LSX 54,LTCJUL1F405SPK1,Jullerup Chair_F405,320.00,"8,240.00",,,,,,,,,,,,
,XBH011701/015,,1/6/17 0:00,Xuất bán T01/015 - LTINV0671 - LSX 54,LTCJUL1F405SPK1,Jullerup Chair_F405,320.00,"8,240.00",,,,,,,,,,,,
,XBH011701/016,,1/6/17 0:00,Xuất bán T01/016 - LTINV3667- lsx 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,Xuất bán T01/016 - LTINV3667- lsx 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011701/017,,1/7/17 0:00,Xuất bán T01/017 -LTINV3705- LSX 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,Xuất bán T01/017 -LTINV3705- LSX 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011701/026,,1/10/17 0:00,Xuất bán T01/026- LTINV3671- LSX 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,Xuất bán T01/026- LTINV3671- LSX 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011701/027,,1/10/17 0:00,Xuất bán T01/027 - LTINV9609 - LSX 54 ,LTCJUL1F405SPK1,Jullerup Chair_F405,320.00,"8,240.00",,,,,,,,,,,,
,XBH011701/038,,1/13/17 0:00,Xuất bán T01/038 -LTINV4140 - LSX 54 ,LTCJUL1F405SPK1,Jullerup Chair_F405,320.00,"8,240.00",,,,,,,,,,,,
,XBH011701/061,,1/17/17 0:00,Xuất bán T01/061 - LTINV3694 - LSX 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,Xuất bán T01/061 - LTINV3694 - LSX 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011701/108,,1/23/17 0:00,Xuất bán T01/108 - LTINV3719 - LSX 52 ,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,Xuất bán T01/108 - LTINV3719 - LSX 52  Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011701/109,,1/22/17 0:00,Xuất bán T01/109 - LTINV3718 - LSX 52 ,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,Xuất bán T01/109 - LTINV3718 - LSX 52  Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011702/002,,2/8/17 0:00,Xuất T02/02 -LTINV6928 - LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011702/003,,2/8/17 0:00,Xuất T02/03-LTINV6961- LSX 35,LTCBIR2F310SP1,New Birkemose Chair_F310,"1,976.00","20,056.40",,,,,,,,,,,,
,XBH011702/017,,2/10/17 0:00,Xuất T02/17 - LTINV3906 -  LSX 65 ,LTCGUD1F114SP1,Gudhjem Chair_F114,"1,512.00",15.12,,,,,,,,,,,,
,XBH011702/027,,2/11/17 0:00,Xuất T02/27 - LTINV2158 - LSX 65,LTCGUD1F114SP1,Gudhjem Chair_F114,"1,512.00",15.12,,,,,,,,,,,,
,XBH011702/062,,2/22/17 0:00,Xuất bán T02/062-LTINV3763- LSX 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,Xuất bán T02/062-LTINV3763- LSX 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011702/063,,2/22/17 0:00,Xuất bán T02/062-LTINV3752- LSX 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,Xuất bán T02/062-LTINV3752- LSX 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011702/071,,2/24/17 0:00,Xuất bán T02/071-LTINV7889- LSX 54,LTCJUL1F405SPK1,Jullerup Chair_F405,320.00,"8,240.00",,,,,,,,,,,,
,XBH011702/074,,2/24/17 0:00,Xuất bán T02/074-LTINV3711- LSX 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,Xuất bán T02/074-LTINV3711- LSX 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011702/075,,2/24/17 0:00,Xuất bán T02/075-LTINV3713- LSX 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,Xuất bán T02/075-LTINV3713- LSX 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011702/077,,2/25/17 0:00,Xuất bán T02/077-LTINV3721- LSX 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,Xuất bán T02/077-LTINV3721- LSX 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011702/078,,2/25/17 0:00,Xuất bán T02/078-LTINV3774- LSX 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"3,253.60",,,,,,,,,,,,
,,,,Xuất bán T02/078-LTINV3774- LSX 52 Total,,,320.00,"6,600.00",,,,,,,,,,,,
,XBH011702/079,,2/25/17 0:00,Xuất bán T02/079-LTINV3714- LSX 52,LTCNEW1F310SCA1,Idskov Lounge Set_Armchair_F310,160.00,"1,696.00",,,,,,,,,,,,
,,,,,LTCNEW2F310SCA1,Idskov Lounge Set_Bench_F310,80.00,"1,650.40",,,,,,,,,,,,
,,,,,LTTNEW1F310SCA1,Idskov Lounge Set_Table_F310,80.00,"3,253.60",,,,,,,,,,,,
