Mã KH,Số Phiếu Xuất,,Ngày Ghi Sổ,Diễn Giải,Mã Sản Phẩm,Tên Sản Phẩm,Số Lượng,Thành Tiền,,,,,,,,,,,,
,,,,,LTLDIN11160ACK1,Dinning Sofa Set_Left_F1160,5.00,354.00,,,,,,,,,,,,
,,,,,LTMDIN21160ACA1,Dinning Sofa Set_Middle 2 seater w/o armrest_F1160,5.00,354.00,,,,,,,,,,,,
,,,,,LTMDIN21160ACA2,Dinning Sofa Set_Middle 2 seater w 1 armrest_F1160,5.00,354.00,,,,,,,,,,,,
,,,,,LTODIN11160ACA1,Dinning Sofa Set_Ottoman_F1160,5.00,354.00,,,,,,,,,,,,
,,,,,LTSDIA1F268SC1,Diana Footres_F268,10.00,155.00,,,,,,,,,,,,
,,,,,LTTSQU1F268SC1,Square Table_F268,15.00,720.00,,,,,,,,,,,,
,,,,,LTTREC1F268SC1,Rect Table_F268,15.00,"1,110.00",,,,,,,,,,,,
,,,,,LTRDIN11160ACK1,Dinning Sofa Set_Right_F1160,5.00,354.00,,,,,,,,,,,,
,,,,Xuất bán T12/037 -SCHIHAIG-HAIGERLOCH - LSX 42 Total,,,420.00,"11,882.80",,,,,,,,,,,,
,XBH011612/038,,12/10/16 0:00,Xuất bán T12/038 - BRAUOFFE-OFENBURG - LSX 42,LTBDIA1F268SCA1,Diana Lounger_F268,5.00,400.00,,,,,,,,,,,,
,,,,,LTCDIA1F268SCA1,Diana Chair_F268,20.00,578.00,,,,,,,,,,,,
,,,,,LTCDIA1F268SCK2,Diana Position Chair_F268,30.00,"1,230.00",,,,,,,,,,,,
,,,,,LTCGEN1F268SP1,Genova Chair_F268,144.00,"3,196.80",,,,,,,,,,,,
,,,,,LTCPRI1F268SPA1,Prisca Chair_F268,150.00,"2,415.00",,,,,,,,,,,,
,,,,,LTCVIS1F268SP1,Visby chair F268,140.00,"1,722.00",,,,,,,,,,,,
,,,,,LTSDIA1F268SC1,Diana Footres_F268,10.00,155.00,,,,,,,,,,,,
