80;LTCIDS1F310S1WI02;Idskov Lounge Set_Bench_F310_DAN;Xuất bán T03/096 - LTINV3841 - LSX 52;20.630000000000003
81;LTCJAK1F278SP1;Jakarta Chair _F278;Xuất bán T03/076 - LTINV26944 - lsx 73;13.5
82;LTCJAPLF253SC1;Japan Sofa Left_F253;Xuất bán T9/069 - 08062016-1- LSX 43;42.5
83;LTCJAPLF268SC1;Japan Sofa Left_F268;Xuất T02/053-LACASAWAREHOUSE 3 (169872, 158103)-LSX 42;40.75
84;LTCJAPMF268SC1;Japan Sofa Middle_F268;Xuất T02/053-LACASAWAREHOUSE 3 (169872, 158103)-LSX 42;40.75
85;LTCJAPN253SC1;Japan Sofa Middle_F253;Xuất bán T9/069 - 08062016-1- LSX 43;42.5
86;LTCJAPR253SC1;Japan Sofa Right_F253;Xuất bán T9/069 - 08062016-1- LSX 43;42.5
87;LTCJAPRF268SC1;Japan Sofa Right_F268;Xuất T02/053-LACASAWAREHOUSE 3 (169872, 158103)-LSX 42;40.75
88;LTCJUB1F210SP2;New Jubi Chair _F210;Xuất mẫu cho khách hàng mượn đến ngày 5/6/2016 trả mẫu theo phiếu yêu cầu xuất xưởng đã được duyệt ngày 27/05/2016;0.0
89;LTCJUL1F405SPK1;Jullerup Chair_F405;Xuất T02/07 - LTINV8725 -  LSX  54;25.75
90;LTCKAL1F330SK1;Kalimantan Armless chair_F330;Xuất bán T06/012-LT7016PEFA-5 ngày ETD 9/6/2016;79.0
91;LTCKAL1F330SK2;Kalimantan Ottoman Chair_F330;Xuất bán T06/012-LT7016PEFA-5 ngày ETD 9/6/2016;47.0
92;LTCKALLF330SK1;Kalimantan Left Corner Chair_F330;Xuất bán T06/012-LT7016PEFA-5 ngày ETD 9/6/2016;93.0
93;LTCKALRF330SK1;Kalimantan Right Corner Chair_F330;Xuất bán T06/012-LT7016PEFA-5 ngày ETD 9/6/2016;93.0
94;LTCKIN1H224AC1;King Chair_H224;Xuất bán T01/101-030- LSX  46;69.0
95;LTCKIN1H350AC1;King Chair_H350;Xuất T02/057-030- LSX 46;69.0
96;LTCLAB1F310SK1;LT_ME53 (Labing Chair)_F310;Xuất bán T11/090 - LT-ME 53/010-1  - lsx 49;44.3
97;LTCLAB1F343SK1;LT_ME53 (Labing Chair)_F343;Xuất bán T01/054 - 700-1 - LSX 49;44.3
98;LTCLAB1H274SK1;Labing Chair(New Skive Chair)_H274;Xuất bán T05/33-LTINV6735  ngày ETD 19/5/2016;33.0
99;LTCLAN1F310APA1;Lango chair_F310;Xuất bán T03/34 - 26826 - LSX 72;14.5
100;LTCLEE2F405SPA1;Leeds Bench Black_F405;Xuất bán T01/085 - LTINV27183 - LSX 78;19.85
101;LTCLET1H171SK1;Leticia Sofa 3 Seater_H171;Xuất bán T06/26 - LT9516CLFA  ngày ETD 26/6/2016;160.4
102;LTCLET1H171SK2;Leticia Armchair_H171;Xuất bán T06/26 - LT9516CLFA  ngày ETD 26/6/2016;84.3
103;LTCMAN1F310AP1;Manilla Chair_F310;Xuất bán T03/34 - 26826 - LSX 72;17.3
104;LTCMAN1F343AP1;Mansan Chair F343;Xuất bán T05/05-24470  ngày ETD 15/5/2016;30.389999999999997
105;LTCMAN2F243APA1;Mansan Bench_F243;Xuất bán T05/47- 24471 ngày ETD 31/05/2016;30.389999999999997
106;LTCMID1F322AE1;Middle_F322;Xuất T02/04 -22250/7326- LSX 63;48.0
107;LTCMOJ1F268SP1;Mojo Chair_F268;Xuất bán T01/093  - LACASAWAREHOUSE- LSX 42;16.0
108;LTCMOJ1F310SP1;Mojo Chair_F310;Xuất bán T12/030 - BUHWOL WOLFSBURG  -LSX 42(PI: LT14216LC, LT14616LC, LT15316LC);16.0
109;LTCNATOF332SCA1;Natsu Armchair_F332;Xuất bán T10/019 - 15062016  - LSX 48;18.0
110;LTCNEL1H265ACA1;Nelson Adjustable Chair_H265;Xuất bán T04/02 - 083 - LSX 03;77.0
111;LTCNELCH265AK1;Nelson Lounge set(Roma  goc)_H265;Xuất bán T01/078 - 044 - lsx 58;77.0
112;LTCNEW1F310SCA1;Idskov Lounge Set_Armchair_F310;Xuất bán T01/016 - LTINV3667- lsx 52;10.6
113;LTCNEW2F310SCA1;Idskov Lounge Set_Bench_F310;Xuất bán T01/016 - LTINV3667- lsx 52;40.67
114;LTCNOV1F332SP1;Novotel Chair_F332;Xuất bán T10/019 - 15062016  - LSX 48;11.7
115;LTCOCC1F310SCA1;Armchair Occasional Set_F310;Xuất bán T10/028 - LT14416DHTG- LSX 51;15.0
116;LTCOCC2F310SCA1;Bench Occasional Set_F310;Xuất bán T10/028 - LT14416DHTG- LSX 51;48.0
117;LTCOWE1F278APA1;OWEN STOL_F278;Xuất bán T03/062- LTINV26548 - LSX 71;18.2
118;LTCPAL1F170SCA1;Palermo Dining Chair_F170;Xuất bán T06/26 - LT9516CLFA  ngày ETD 26/6/2016;40.0
119;LTCPAL1F170SK2;Palermo Rest Chair_F170;Xuất bán T06/26 - LT9516CLFA  ngày ETD 26/6/2016;60.8
120;LTCPALCF170SK1;Palermo Corner Chair_F170;Xuất bán T06/26 - LT9516CLFA  ngày ETD 26/6/2016;74.02
121;LTCPRI1F220SP1;Prisca Chair_F220;Xuất bán T12/102 -077-1 - LSX 39;15.3
122;LTCPRI1F247SP1;Prisca Chair_F247;Xuất bán T01/076 - 111 - lsx 49;15.299999999999999
123;LTCPRI1F268SPA1;Prisca Chair_F268;Xuất bán T01/022-SPIGROB-GROBWALLSTADT - LSX 42;16.1
124;LTCPRI1F310SK1;Prisca Chair_F310;Xuất bán T01/028 - 067-1 - LSX 49;15.3
125;LTCPRI1F343SP1;Prisca Chair_F343;Xuất bán T10/070- LT-ME 26/30 -  LSX 49;15.3
126;LTCPRI1F403SPA1;Prisca Chair_F403;Xuất bán T01/074 - LTINV191406 - lsx 56;11.5
127;LTCPRI2F243SK2;Prisca Bench_F243;Xuất bán T04/74 - 22032016-1- LSX 19;28.0
128;LTCPRI2F310SK1;Prisca Bench_F310;Xuất bán T01/099  - LT-NO/1000260-1000261-1000264-1000263 - LSX 44 ;23.759999999999998
129;LTCPRI2F343APA1;Prisca Bench_F343;Xuất bán T01/087 - LTINV58143147 - LSX 55;33.9
130;LTCPRI2F403SPA1;Prisca Bench_F403;Xuất bán T01/073 - LTINV190966 - LSX 56;22.3
131;LTCQUE1H274APEA1;Queen Chair_H274;Xuất bán T01/110 - 222250/7282 - LSX 47;41.230000000000004
132;LTCRAN1F310SCK2;Ranfort Set_(Ghế 1 Chỗ)_F310;Xuất bán T01/070 - LTINV58143146-2 - LSX 55;32.5
133;LTCRAN1F310SCK3;Ranfort Set_(Ghế 2 Chỗ)_F310;Xuất bán T01/070 - LTINV58143146-2 - LSX 55;60.0
134;LTCRAN1F310SCK4;Ranfort Set_(Bàn)_F310;Xuất bán T01/070 - LTINV58143146-2 - LSX 55;60.0
135;LTCREZ1F407SC1;REZE ArmChair (K/D)_F407;Xuất bán T05/26-57338 ngày ETD 16/5/2016;20.3
136;LTCREZ1F409SC1;REZE ArmChair (K/D)_F409;Xuất bán T05/25-57334  ngày ETD 16/5/2016;20.3
137;LTCS10042;Nệm ngồi Roma set;Xuất bán hàng mẫu -SAMPLE 06052016;0.0
138;LTCS10081;Nệm ngồi Bali;Xuất T02/39 - LTINV26952(26946/2131120) - LSX 73;1.7
139;LTCS10094;Nệm ngồi New Bork set;Xuất mẫu cho khách hàng mượn đến ngày 5/6/2016 trả mẫu theo phiếu yêu cầu xuất xưởng đã được duyệt ngày 27/05/2016;0.0
140;LTCS10115;Nệm ngồi Scout Double;Xuất bán nệm theo INVOICE ngày 18/8/2016;10.0
141;LTCS10123;Nệm ngồi Scout dining chair;Xuất bán nệm theo INVOICE ngày 18/8/2016;4.0
142;LTCS10124;Nệm ngồi Scout single lounge;Xuất bán nệm theo INVOICE ngày 18/8/2016;4.5
143;LTCS10135;Nệm ngồi Angebot Set ;Xuất bán hàng mẫu -SAMPLE 06052016;0.0
144;LTCS10155;Nệm Ngồi Idskov Lounge Set;Xuất bán T03/151 - LTINV3890 - LSX 54 ;0.0
145;LTCS10179;Nệm Cushion 4 (Black);Xuất bán T04/19 -250791 - LSX 61;4.7
146;LTCS10180;Nệm Cushion 4 (Grey );Xuất bán T04/19 -250791 - LSX 61;4.7
147;LTCS10181;Nệm Cushion 5 (Black);Xuất bán T02/065-250788- LSX 61;2.38
148;LTCS10182;Nệm Cushion 5 (Grey);Xuất bán T02/065-250788- LSX 61;2.38
149;LTCS10183;Nệm Cushion 6 (Black);Xuất bán T02/064- 250789- LSX 61;4.83
150;LTCS10184;Nệm Cushion 7 (Black);Xuất bán T02/099 - 250790 - LSX 61 ;7.35
151;LTCS10185;Nệm Cushion 9 (Black);Xuất bán T02/064- 250789- LSX 61;4.7
152;LTCS10186;Nệm Cushion 8 (Grey);Xuất bán T02/064- 250789- LSX 61;4.83
153;LTCS10188;Nệm Cushion 8 (Black);Xuất bán T02/064- 250789- LSX 61;7.35
154;LTCSAR1MIX3SK2;Sara Chair 3 Mau_MIX;Xuất bán T07/32 - LT10716COFA ngày ETD 1/08/2016;24.3
155;LTCSAR1MIX7SK3;Sara Chair 7 Mau Chair_MIX;Xuất bán T07/32 - LT10716COFA ngày ETD 1/08/2016;24.3
156;LTCSAR1R144SK1;Sara Chair KD in Green_R144;Xuất bán T06/26 - LT9516CLFA  ngày ETD 26/6/2016;24.85
157;LTCSAR1R144SK2;Sara Chair in Green_R144;Xuất tặng khách hàng theo phiếu yêu cầu xuất xưởng ngày 16.3.2017 ;0.0
158;LTCSAR1R146SCK1;Sara Chair KD in Yellow_R146;Xuất bán T06/26 - LT9516CLFA  ngày ETD 26/6/2016;24.85
159;LTCSAR1R147SCK1;Sara Chair KD in Red_R147;Xuất bán T06/26 - LT9516CLFA  ngày ETD 26/6/2016;24.85
160;LTCSAR1R149SCK1;Sara Chair KD in Black_R149;Xuất bán T06/012-LT7016PEFA-5 ngày ETD 9/6/2016;24.85
161;LTCSAR1R150SCK1;Sara Chair KD in Blue_R150;Xuất bán T06/26 - LT9516CLFA  ngày ETD 26/6/2016;24.85
162;LTCSAR1R157SCA1;Sara Chair in White_R157;Xuất bán T06/012-LT7016PEFA-5 ngày ETD 9/6/2016;24.85
163;LTCSAR1R175SCK1;Sara Chair KD in Dark Blue_R175;Xuất bán T06/012-LT7016PEFA-5 ngày ETD 9/6/2016;24.85
164;LTCSCO1A1FP01;Khung chữ X Scout Single _AL_KXS;Xuất cho khách mượn theo phiếu yêu cầu xuất xưởng ngày 2/8/2016, 10 ngày sau sẽ thu hồi lại, nếu không sẽ trừ tiền anh Võ Trọng Cường*(PKD);0.0
165;LTCSCO1A2FP01;Khung chữ X Scout Dining Chair_AL_KXS;Xuất cho khách mượn theo phiếu yêu cầu xuất xưởng ngày 2/8/2016, 10 ngày sau sẽ thu hồi lại, nếu không sẽ trừ tiền anh Võ Trọng Cường*(PKD);0.0
166;LTCSCO1A3FP01;Khung chữ X Scout Bar Chair_AL_KXS;Xuất cho khách mượn theo phiếu yêu cầu xuất xưởng ngày 2/8/2016, 10 ngày sau sẽ thu hồi lại, nếu không sẽ trừ tiền anh Võ Trọng Cường*(PKD);0.0
167;LTCSCO1A4FP01;Khung chữ X Scout Double_AL_KXS;Xuất cho khách mượn theo phiếu yêu cầu xuất xưởng ngày 2/8/2016, 10 ngày sau sẽ thu hồi lại, nếu không sẽ trừ tiền anh Võ Trọng Cường*(PKD);0.0
168;LTCSCO1R334A1WI02;Scout Single lounge_Mê_R334_DAN;Xuất phụ kiện đi kèm  theo LSX 28 bổ sung cho khách;0.0
169;LTCSCO1R334A2WI02;Scout Dining Chair_Mê_R334_DAN;Xuất phụ kiện đi kèm  theo LSX 28 bổ sung cho khách;0.0
170;LTCSCO1R334A3WI02;Scout Bar Chair_Mê_R334_DAN;Xuất phụ kiện đi kèm  theo LSX 28 bổ sung cho khách;0.0
171;LTCSCO1R334AK1;Scout Single lounge_R334;Xuất bán T06/14-GLGP272 ngày ETD 11/7/2016;48.0
172;LTCSCO1R334AK2;Scout Dining Chair_R334;Xuất bán T06/14-GLGP272 ngày ETD 11/7/2016;46.0
173;LTCSCO1R334AK3;Scout Bar Chair_R334;Xuất bán T07/015- GLGS351 ngày ETD ngày 12/7/2016;21.0
174;LTCSCO2R334A1WI02;Scout Double _Mê_R334_DAN;Xuất phụ kiện đi kèm  theo LSX 28 bổ sung cho khách;0.0
175;LTCSCO2R334AK1;Scout Double _R334;Xuất bán T06/14-GLGP272 ngày ETD 11/7/2016;95.0
